"number", "1", "1_1", "1_2"
40, 0.22519291893629367, 0.16743310594616984, 0.012513789617630586
41, 0.23002449923983, 0.17211135049364074, 0.012939147507751242
42, 0.23482200521213833, 0.17679576570383637, 0.01336894457453833
43, 0.23958603770386197, 0.18148622639968506, 0.013803171866729178
44, 0.24431718026221577, 0.1861826090265975, 0.014241820601663558
45, 0.24901599982302414, 0.19088479162194047, 0.014684882159110107
46, 0.25368304736748803, 0.19559265378562604, 0.015132348075333694
47, 0.25831885854585546, 0.20030607665175634, 0.015584210037391567
48, 0.2629239542700129, 0.20502494286126846, 0.01604045987764673
49, 0.2674988412768728, 0.20974913653552688, 0.016501089568487767
50, 0.27204401266429734, 0.21447854325081442, 0.016966091217244995
51, 0.2765599484011803, 0.21921305001367572, 0.01743545706129333
52, 0.2810471158131946, 0.22395254523706964, 0.017909179463332973
53, 0.28550597004561123, 0.22869691871729025, 0.018387250906839403
54, 0.2899369545045007, 0.23344606161161785, 0.018869663991674716
55, 0.29434050127753825, 0.23819986641666413, 0.01935641142985283
56, 0.29871703153555673, 0.2429582269473777, 0.01984748604145143
57, 0.30306695591591265, 0.24772103831667774, 0.02034288075066399
58, 0.30739067488866434, 0.252488196915686, 0.020842588581985542
59, 0.3116885791064946, 0.2572596003945286, 0.02134660265652622
60, 0.31596104973925415, 0.2620351476436809, 0.021854916188446965
61, 0.3202084587939434, 0.2668147387758306, 0.02236752248151198
62, 0.32443116942090167, 0.27159827510823437, 0.02288441492575298
63, 0.3286295362069242, 0.27638565914554647, 0.02340558699424035
64, 0.332803905455984, 0.2811767945630975, 0.02393103223995674
65, 0.33695461545819344, 0.2859715861906036, 0.024460744292768795
66, 0.3410819967476037, 0.2907699399962864, 0.024994716856492884
67, 0.34518637234940386, 0.29557176307138694, 0.025532943706051043
68, 0.3492680580170474, 0.30037696361505534, 0.026075418684713383
69, 0.3533273624598057, 0.3051854509196009, 0.026622135701423525
70, 0.35736458756121564, 0.3099971353560872, 0.027173088728203725
71, 0.3613800285888646, 0.31481192836025756, 0.02772827179763654
72, 0.36537397439592956, 0.3196297424187777, 0.02828767900042004
73, 0.3693467076148635, 0.3244504910557819, 0.02885130448299371
74, 0.3732985048436001, 0.32927408881971115, 0.029419142445232343
75, 0.37722963682462873, 0.3341004512704312, 0.02999118713820533
76, 0.3811403686172698, 0.3389294949666194, 0.030567432861998874
77, 0.38503095976346513, 0.34376113745341, 0.031147873963598804
78, 0.388901664447379, 0.3485952972502884, 0.03173250483483174
79, 0.39275273164909086, 0.3534318938392236, 0.032321319910362495
80, 0.39658440529264555, 0.3582708476530313, 0.03291431366574564
81, 0.4003969243887121, 0.36311208006395856, 0.03351148061552933
82, 0.4041905231720902, 0.3679555133724814, 0.03411281531140955
83, 0.40796543123429024, 0.3728010707963084, 0.03471831234043292
84, 0.4117218736514014, 0.37764867645958283, 0.03532796632324651
85, 0.4154600711074511, 0.3824982553822756, 0.03594177191239293
86, 0.41918024001344967, 0.38734973346976365, 0.03655972379064921
87, 0.42288259262230277, 0.39220303750258617, 0.03718181666940795
88, 0.42656733713976674, 0.39705809512637374, 0.03780804528709941
89, 0.43023467783161246, 0.4019148348419438, 0.03843840440765307
90, 0.4338848151271543, 0.4067731859955574, 0.03907288881899748
91, 0.4375179457192959, 0.4116330787693323, 0.03971149333159709
92, 0.44113426266123335, 0.4164944441718069, 0.04035421277702489
93, 0.4447339554599529, 0.42135721402865056, 0.041001042006569746
94, 0.44831721016665244, 0.42622132097351584, 0.041651975889877305
95, 0.4518842094642085, 0.4310866984390284, 0.04230700931362347
96, 0.4554351327518085, 0.43595328064791034, 0.04296613718021939
97, 0.45897015622685783, 0.440821002604233, 0.04362935440654708
98, 0.4624894529642698, 0.44568980008479586, 0.044296655922724665
99, 0.4659931929932402, 0.4505596096306274, 0.04496803667090041
100, 0.4694815433716031, 0.45543036853860536, 0.04564349160407473
